RPU,Network,Min Segment Length (m),Max Segment Length (m),Avg Segment Length (m),Total Segment Length (m),Total Segments,Total Timesteps,CN Violations,Number of Segments Violating CN,Length of Network Violating CN
01a,reference_01a,1,29257,1523.31,96557850,63387,288,403779,1655,117666
01a,rf_s10000_m1000_c1000,1.73,29257.17,2319.21,92759257.7,39996,288,50597,208,31425.60068
01a,rf_s10000_m1500_c1500,1.73,29257.17,2606.03,92769450.57,35598,288,47624,194,29149.35125
01a,rf_s10000_m2500_c2500,1.73,29257.17,3031.26,92796099.43,30613,288,42918,174,26535.60497
01a,rf_s10000_m3500_c3500,1.73,29257.17,3278.26,92791290.12,28305,288,38086,154,23462.16687
01a,rf_s10000_m4500_c4500,1.73,29257.17,3427.85,92791866.36,27070,288,35415,143,21993.53517
01a,rf_s10000_m500_c500,1.73,29257.17,1958.65,92738227.13,47348,288,57215,239,38752.81296
02a,reference_02a,1,38297,1536.5,128431800,83587,288,474781,3414,437018
02a,rf_s10000_m1000_c1000,5.24,38146.64,2242.89,123912766.5,55247,288,53742,351,67512.60764
02a,rf_s10000_m1500_c1500,5.24,38146.64,2546.16,123901253.5,48662,288,49049,318,61941.49676
02a,rf_s10000_m2500_c2500,9.35,38146.64,2937.84,123894662.5,42172,288,43339,283,54800.99913
02a,rf_s10000_m3500_c3500,9.35,38146.64,3142.55,123888560,39423,288,40458,261,51247.6649
02a,rf_s10000_m4500_c4500,9.35,38146.64,3264.11,123876234.4,37951,288,37589,248,49043.45405
02a,rf_s10000_m500_c500,5.24,38146.64,1898.67,123918813.5,65266,288,59743,451,109622.5742
02b,reference_02b,1,27300,1548.11,59481800,38422,288,373587,1672,131855
02b,rf_s10000_m1000_c1000,1.41,27150.11,2427.77,57518639.34,23692,288,44053,192,25845.1827
02b,rf_s10000_m1500_c1500,2.84,27150.11,2700.61,57520254.93,21299,288,39399,172,23042.09265
02b,rf_s10000_m2500_c2500,2.84,27150.11,3090.03,57517851.96,18614,288,35484,154,20670.10128
02b,rf_s10000_m3500_c3500,2.84,27150.11,3323.56,57517507.84,17306,288,32477,140,19308.86324
02b,rf_s10000_m4500_c4500,7.11,27150.11,3471.08,57495050.43,16564,288,30921,134,18635.83055
02b,rf_s10000_m500_c500,0.57,27150.11,2075.79,57520075.52,27710,288,49962,220,31768.87686
03a,reference_03a,1,17780,1346.34,75638420,56181,288,205348,1253,122060
03a,rf_s10000_m1000_c1000,10.65,11625.3,2024.41,72506210.88,35816,288,18379,117,19468.05437
03a,rf_s10000_m1500_c1500,10.65,13100.83,2324.44,72503866.03,31192,288,17245,112,18932.87015
03a,rf_s10000_m2500_c2500,10.65,20822.64,2686.97,72499915.21,26982,288,14415,96,16907.57727
03a,rf_s10000_m3500_c3500,10.65,19484.7,2869.92,72497174.99,25261,288,13088,89,15992.40144
03a,rf_s10000_m4500_c4500,10.65,27567.98,2978.24,72493373.05,24341,288,12162,83,15477.29099
03a,rf_s10000_m500_c500,10.65,11625.3,1699.8,72506832.88,42656,288,21850,134,22451.61304
03b,reference_03b,1,20192,1418.76,106230110,74875,288,270265,1118,74859
03b,rf_s10000_m1000_c1000,6.04,20048.61,2156.29,102262219.3,47425,288,28314,130,20517.88045
03b,rf_s10000_m1500_c1500,6.04,20048.61,2438.91,102261067.6,41929,288,26299,118,17954.5071
03b,rf_s10000_m2500_c2500,6.04,20048.61,2805.71,102248613,36443,288,23570,104,16324.54319
03b,rf_s10000_m3500_c3500,6.04,25460.13,2993.76,102245964.7,34153,288,21255,97,16181.13676
03b,rf_s10000_m4500_c4500,6.04,31650.27,3106.25,102242181.1,32915,288,20751,92,15126.76069
03b,rf_s10000_m500_c500,6.04,20048.61,1822.2,102265515.6,56122,288,31964,145,22081.29649
03c,reference_03c,1,33565,1483.98,49052904,33055,288,90303,402,21333
03c,rf_s10000_m1000_c1000,2.12,29877.14,2280.64,48801030.96,21398,288,6281,29,3649.635168
03c,rf_s10000_m1500_c1500,2.12,29877.14,2558.46,48800028.46,19074,288,6051,28,3596.786844
03c,rf_s10000_m2500_c2500,2.12,29877.14,2965.86,48794341.07,16452,288,5352,25,3223.178642
03c,rf_s10000_m3500_c3500,2.12,29877.14,3165.61,48788328,15412,288,5145,24,3155.904145
03c,rf_s10000_m4500_c4500,2.12,31141.4,3290.48,48784612.94,14826,288,4871,23,3102.51883
03c,rf_s10000_m500_c500,2.12,29877.14,1967.04,48802317.84,24810,288,6691,31,4222.180267
03d,reference_03d,1,26262,1244.56,21148814,16993,288,70593,339,20203
03d,rf_s10000_m1000_c1000,4.52,26262.38,2023.86,20665593.79,10211,288,7034,29,3869.156989
03d,rf_s10000_m1500_c1500,4.52,26262.38,2256.68,20659898.43,9155,288,6047,25,3229.218038
03d,rf_s10000_m2500_c2500,4.52,26262.38,2569.47,20650810.43,8037,288,5769,24,3099.983757
03d,rf_s10000_m3500_c3500,4.52,26262.38,2751.61,20642551.86,7502,288,5297,22,2984.806819
03d,rf_s10000_m4500_c4500,4.52,26262.38,2843.52,20626901.32,7254,288,4188,18,2631.061892
03d,rf_s10000_m500_c500,4.52,26262.38,1728.34,20669175.28,11959,288,7591,32,4632.216501
03f,reference_03f,1,17525,1635.29,140899470,86162,288,237527,1089,67765
03f,rf_s10000_m1000_c1000,2.77,17525.03,2253.81,135801232.6,60254,288,16292,75,8925.032479
03f,rf_s10000_m1500_c1500,2.77,17525.03,2562.38,135801232.6,52998,288,14790,68,8247.061161
03f,rf_s10000_m2500_c2500,2.77,23158.19,2953.58,135799557.4,45978,288,13077,58,6873.279992
03f,rf_s10000_m3500_c3500,2.77,24981.49,3164.02,135799557.4,42920,288,12753,57,6753.076119
03f,rf_s10000_m4500_c4500,2.77,34228.5,3278.12,135799557.4,41426,288,12114,55,6489.700998
03f,rf_s10000_m500_c500,2.77,17525.03,1922.58,135801232.6,70635,288,18159,84,9986.732869
